User_ID,App,Age,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
U_1,Pinterest,56,288,16,94,0
U_2,Facebook,46,192,14,117,15
U_3,Instagram,32,351,13,120,48
U_4,TikTok,60,21,20,117,8
U_5,LinkedIn,18,241,16,9,21
U_6,Twitter,38,464,3,137,30
U_7,LinkedIn,56,229,1,188,25
U_8,LinkedIn,36,8,19,179,48
U_9,TikTok,40,80,7,14,25
U_10,Snapchat,28,428,6,4,41
U_11,Snapchat,28,52,18,124,26
U_12,Facebook,41,314,18,132,28
U_13,LinkedIn,53,26,17,198,18
U_14,Instagram,57,427,0,110,19
U_15,Facebook,41,434,2,111,16
U_16,Twitter,18,494,10,93,49
U_17,Snapchat,39,32,2,81,8
U_18,Snapchat,18,104,19,3,49
U_19,LinkedIn,41,431,7,14,38
U_20,Snapchat,61,347,16,187,21
U_21,LinkedIn,47,52,19,51,33
U_22,Facebook,55,100,19,42,9
U_23,Pinterest,18,214,9,122,16
U_24,Facebook,38,221,15,127,22
U_25,Instagram,50,280,13,42,15
U_26,LinkedIn,29,355,0,128,38
U_27,Twitter,39,188,3,5,15
U_28,TikTok,61,77,2,192,13
U_29,Twitter,42,337,18,21,44
U_30,TikTok,44,199,5,186,40
U_31,TikTok,59,321,4,136,18
U_32,Twitter,45,119,17,97,3
U_33,TikTok,33,396,10,37,36
U_34,Pinterest,32,112,8,82,21
U_35,Snapchat,64,63,0,86,44
U_36,Twitter,61,108,0,163,40
U_37,TikTok,18,252,3,6,39
U_38,LinkedIn,54,233,15,197,25
U_39,Pinterest,18,180,20,127,3
U_40,Twitter,38,289,20,131,14
U_41,Facebook,18,75,10,19,38
U_42,Twitter,56,51,10,21,9
U_43,Facebook,35,187,20,146,20
U_44,LinkedIn,18,215,10,157,31
U_45,Facebook,42,202,1,64,12
U_46,Pinterest,31,206,11,150,1
U_47,Pinterest,18,295,1,47,23
U_48,Pinterest,43,43,19,16,38
U_49,LinkedIn,18,5,7,38,40
U_50,LinkedIn,37,167,10,33,27
U_51,Facebook,45,78,9,166,22
U_52,Pinterest,64,319,19,170,21
U_53,Pinterest,18,172,2,151,44
U_54,Snapchat,61,485,13,40,24
U_55,Snapchat,18,402,14,41,40
U_56,Twitter,64,215,1,120,10
U_57,Facebook,52,104,20,46,27
U_58,LinkedIn,31,363,7,194,24
U_59,Facebook,34,312,9,96,15
U_60,TikTok,53,39,14,80,32
U_61,LinkedIn,57,260,10,159,19
U_62,LinkedIn,18,379,17,48,44
U_63,Facebook,18,208,15,92,9
U_64,Pinterest,18,341,13,4,41
U_65,Snapchat,59,28,9,53,15
U_66,Instagram,18,407,13,192,18
U_67,Facebook,46,498,16,176,18
U_68,TikTok,35,21,6,38,43
U_69,TikTok,43,474,8,112,7
U_70,Instagram,61,36,20,134,43
U_71,Twitter,51,461,20,156,6
U_72,Pinterest,27,178,18,135,5
U_73,Snapchat,53,361,18,190,48
U_74,Pinterest,31,24,15,31,3
U_75,Snapchat,48,149,4,153,15
U_76,Snapchat,32,250,11,200,13
U_77,Instagram,18,251,19,67,47
U_78,TikTok,31,153,7,107,4
U_79,Instagram,40,394,17,23,7
U_80,LinkedIn,57,344,1,125,10
U_81,Instagram,38,454,10,112,39
U_82,Instagram,33,59,8,96,9
U_83,Instagram,62,289,19,15,33
U_84,Facebook,35,497,4,17,19
U_85,Twitter,64,450,18,142,44
U_86,Twitter,41,74,20,197,12
U_87,Facebook,43,492,17,116,45
U_88,Snapchat,42,156,18,3,14
U_89,Twitter,62,335,10,33,25
U_90,Pinterest,58,114,11,60,39
U_91,Snapchat,46,31,8,143,21
U_92,Pinterest,32,316,12,117,2
U_93,TikTok,62,189,19,111,25
U_94,Snapchat,18,106,20,144,42
U_95,Pinterest,42,227,3,53,13
U_96,Pinterest,18,267,17,192,35
U_97,Twitter,18,36,13,132,16
U_98,Snapchat,41,9,14,117,48
U_99,Pinterest,18,122,1,146,40
U_100,Instagram,61,479,16,61,6
U_101,LinkedIn,18,82,13,137,8
U_102,Pinterest,41,17,18,133,11
U_103,Pinterest,28,413,19,123,9
U_104,Twitter,34,159,16,80,10
U_105,TikTok,18,148,1,124,13
U_106,Instagram,52,485,5,193,18
U_107,LinkedIn,52,61,9,41,24
U_108,Pinterest,50,325,6,6,41
U_109,Snapchat,18,391,0,117,17
U_110,Snapchat,59,441,14,178,4
U_111,Instagram,56,405,13,108,21
U_112,LinkedIn,58,175,18,167,40
U_113,TikTok,45,419,6,94,35
U_114,Facebook,18,498,18,199,50
U_115,LinkedIn,19,457,16,124,29
U_116,Pinterest,19,42,16,96,19
U_117,Snapchat,29,280,9,154,8
U_118,Instagram,51,10,18,99,30
U_119,Facebook,50,256,1,32,11
U_120,Snapchat,40,41,1,101,30
U_121,Snapchat,41,319,20,5,45
U_122,Instagram,54,50,8,168,12
U_123,LinkedIn,52,129,1,1,31
U_124,TikTok,61,40,17,152,44
U_125,Twitter,57,436,19,29,28
U_126,Pinterest,39,275,18,4,27
U_127,Facebook,44,464,5,17,22
U_128,LinkedIn,52,368,2,16,33
U_129,Facebook,19,20,9,11,16
U_130,Twitter,52,137,4,35,1
U_131,Pinterest,54,78,8,9,37
U_132,Pinterest,64,382,6,48,33
U_133,Facebook,31,49,15,11,49
U_134,Twitter,19,396,20,143,8
U_135,Snapchat,19,218,17,157,33
U_136,Facebook,19,39,18,43,44
U_137,Instagram,43,145,14,25,17
U_138,Pinterest,31,295,2,167,42
U_139,Instagram,56,277,15,67,35
U_140,TikTok,44,297,18,123,7
U_141,Snapchat,19,253,18,50,43
U_142,Pinterest,32,332,10,50,39
U_143,Facebook,32,173,17,43,44
U_144,Twitter,43,384,10,7,26
U_145,Instagram,59,481,4,94,17
U_146,Snapchat,30,288,15,152,0
U_147,Snapchat,49,447,2,171,25
U_148,LinkedIn,56,231,6,9,30
U_149,Snapchat,49,78,17,194,19
U_150,Instagram,19,346,3,64,35
U_151,Twitter,47,417,20,55,6
